action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,signal_type,close_time,close_price,pnl,close_reason
close,long,1741195800000,89699.9,0.0018669036338337488,28.332896024350358,,,,1741306500000.0,87024.69285714284,-5.159317828554411,止损
open,short,1741306500000,86995.1,0.0016284190732782854,28.332896024350358,89681.19285714286,895.3642857142861,二次死叉,,,,
close,short,1741306500000,86995.1,0.0016284190732782854,23.814959660640035,,,,1741352400000.0,89681.19285714286,-4.517936363710321,止损
open,short,1741365900000,87220.0,0.0013652235531208458,23.814959660640035,90473.47857142858,1084.4928571428597,死叉,,,,
close,short,1741365900000,87220.0,0.0013652235531208458,37.02772417656454,,,,1741632300000.0,77459.56428571427,13.212764515924503,固定止盈
open,short,1741759200000,81585.0,0.0022692727938079635,37.02772417656454,82450.77857142857,288.5928571428573,死叉,,,,
close,short,1741759200000,81585.0,0.0022692727938079635,34.876915454198134,,,,1741765500000.0,82450.77857142857,-2.150808722366406,止损
open,short,1741792500000,81210.1,0.0021473262226125896,34.876915454198134,83384.84285714287,724.9142857142859,死叉,,,,
close,short,1741792500000,81210.1,0.0021473262226125896,30.030313571162562,,,,1741816800000.0,83384.84285714287,-4.8466018830355715,止损
open,short,1741854600000,82630.9,0.0018171358154856453,30.030313571162562,83494.36428571428,287.82142857142856,死叉,,,,
close,short,1741854600000,82630.9,0.0018171358154856453,28.3103456084031,,,,1741859100000.0,83494.36428571428,-1.7199679627594613,止损
open,short,1741863600000,82932.3,0.0017068347078522542,28.3103456084031,83866.35,311.34999999999957,死叉,,,,
close,short,1741863600000,82932.3,0.0017068347078522542,26.573727787012245,,,,1741869000000.0,83866.35,-1.7366178213908532,止损
open,long,1742000400000,84415.0,0.0015739932350300448,26.573727787012245,83911.49285714286,167.8357142857151,二次金叉,,,,
close,long,1742000400000,84415.0,0.0015739932350300448,25.648738569849066,,,,1742022900000.0,83911.49285714286,-0.9249892171631814,止损
open,long,1742043600000,84247.1,0.0015222327278831592,25.648738569849066,83821.61428571428,141.82857142857185,金叉,,,,
close,long,1742043600000,84247.1,0.0015222327278831592,24.873130441607117,,,,1742088600000.0,83821.61428571428,-0.7756081282419479,止损
open,short,1742089500000,83828.5,0.0014835724390635117,24.873130441607117,84211.79285714286,127.76428571428654,死叉,,,,
close,short,1742089500000,83828.5,0.0014835724390635117,24.179837749092545,,,,1742096700000.0,84211.79285714286,-0.6932926925145698,止损
open,long,1742101200000,84295.4,0.0014342323394332637,24.179837749092545,83800.95714285714,164.81428571428427,金叉,,,,
close,long,1742101200000,84295.4,0.0014342323394332637,23.350147197598872,,,,1742117400000.0,83800.95714285714,-0.8296905514936729,止损
open,short,1742154300000,83064.3,0.0014055464981706264,23.350147197598872,84426.6,454.10000000000065,二次死叉,,,,
close,short,1742154300000,83064.3,0.0014055464981706264,21.3176630791558,,,,1742236200000.0,84426.6,-2.0324841184430715,止损
open,short,1742262300000,83127.2,0.0012822315126189625,21.3176630791558,83750.5142857143,207.77142857142982,死叉,,,,
close,short,1742262300000,83127.2,0.0012822315126189625,23.609973271814464,,,,1742305500000.0,81257.25714285712,2.2923101926586638,固定止盈
open,long,1742459400000,86013.6,0.0013724558251145438,23.609973271814464,85414.60714285714,199.6642857142859,二次金叉,,,,
close,long,1742459400000,86013.6,0.0013724558251145438,22.670243215085662,,,,1742465700000.0,85414.60714285714,-0.9397300567288016,止损
open,long,1742592600000,84340.3,0.0013439745421278831,22.670243215085662,83748.29285714286,197.33571428571304,金叉,,,,
close,long,1742592600000,84340.3,0.0013439745421278831,21.761647291516752,,,,1742686200000.0,83748.29285714286,-0.9085959235689092,止损
open,long,1742707800000,84144.6,0.0012931101515436967,21.761647291516752,83912.57142857142,77.34285714286047,金叉,,,,
close,long,1742707800000,84144.6,0.0012931101515436967,22.552504500794864,,,,1742728500000.0,84840.68571428575,0.790857209278111,固定止盈
