action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,close_time,close_price,pnl,close_reason
open,short,1740273300000,96455.7,0.003319307960216893,64.03323456365851,96606.11428571428,75.20714285714244,,,,
close,short,1740273300000,96455.7,0.003319307960216893,64.82090634261799,,,1740354300000.0,96218.4,0.7876717789594784,信号平仓
open,short,1740368700000,95388.1,0.0033977459632080933,64.82090634261799,95965.0,288.4499999999992,,,,
close,short,1740368700000,95388.1,0.0033977459632080933,62.86074669644326,,,1740388500000.0,95965.0,-1.9601596461747293,止损
open,short,1740573000000,88195.6,0.003563712174782147,62.86074669644326,88740.82857142857,272.6142857142851,,,,
close,short,1740573000000,88195.6,0.003563712174782147,71.28215493667096,,,1740635100000.0,85832.5,8.421408240227711,信号平仓
open,short,1740670200000,85728.8,0.00415742171456214,71.28215493667096,86956.22857142858,613.7142857142878,,,,
close,short,1740670200000,85728.8,0.00415742171456214,87.15228084766903,,,1740751200000.0,81911.5,15.87012591099807,信号平仓
open,short,1740830400000,84541.7,0.00515439604642851,87.15228084766903,85099.82857142856,279.06428571428427,,,,
close,short,1740830400000,84541.7,0.00515439604642851,84.27546514569886,,,1740846600000.0,85099.82857142856,-2.8768157019701737,止损
open,short,1740921300000,85664.9,0.00491890290805796,84.27546514569886,86001.6857142857,168.3928571428582,,,,
close,short,1740921300000,85664.9,0.00491890290805796,82.6188489163065,,,1740928500000.0,86001.6857142857,-1.6566162293923568,止损
open,short,1740986100000,91927.1,0.004493715613584378,82.6188489163065,92774.45714285715,423.67857142857247,,,,
close,short,1740986100000,91927.1,0.004493715613584378,78.81106689316711,,,1740999600000.0,92774.45714285715,-3.8077820231394006,止损
open,short,1741264200000,90369.9,0.004360471069082024,78.81106689316711,91173.91428571429,402.00714285714326,,,,
close,short,1741264200000,90369.9,0.004360471069082024,75.30518586118129,,,1741274100000.0,91173.91428571429,-3.5058810319858225,止损
open,short,1741365000000,87268.2,0.004314583425645384,75.30518586118129,89380.61428571428,1056.2071428571467,,,,
close,short,1741365000000,87268.2,0.004314583425645384,79.26726782095146,,,1741446000000.0,86349.9,3.9620819597701686,信号平仓
open,short,1741488300000,85954.0,0.004611028446666325,79.26726782095146,86314.71428571429,180.3571428571418,,,,
close,short,1741488300000,85954.0,0.004611028446666325,96.2197139051202,,,1741585500000.0,82277.5,16.952446084168745,信号平仓
open,short,1741616100000,79845.9,0.006025338427215437,96.2197139051202,81419.52857142856,786.8142857142842,,,,
close,short,1741616100000,79845.9,0.006025338427215437,95.86482147175715,,,1741667400000.0,79904.8,-0.3548924333630419,信号平仓
open,short,1741753800000,81619.5,0.00587266654854276,95.86482147175715,82393.08571428571,386.7928571428586,,,,
close,short,1741753800000,81619.5,0.00587266654854276,91.32181052504089,,,1741765500000.0,82393.08571428571,-4.543010946716264,止损
open,short,1741791600000,80900.1,0.005644109866677599,91.32181052504089,82307.25714285715,703.5785714285709,,,,
close,short,1741791600000,80900.1,0.005644109866677599,83.379661011075,,,1741798800000.0,82307.25714285715,-7.942149513965888,止损
open,short,1741849200000,83150.8,0.005013761804521124,83.379661011075,83616.14285714286,232.67142857142815,,,,
close,short,1741849200000,83150.8,0.005013761804521124,81.04654276792544,,,1741869000000.0,83616.14285714286,-2.3331182431495616,止损
open,short,1742022900000,83919.9,0.0048288035834126025,81.04654276792544,84174.87142857142,127.48571428571553,,,,
close,short,1742022900000,83919.9,0.0048288035834126025,79.81533581997189,,,1742040900000.0,84174.87142857142,-1.2312069479535468,止损
open,short,1742087700000,84141.1,0.0047429458267108406,79.81533581997189,84340.65714285715,99.77857142857205,,,,
close,short,1742087700000,84141.1,0.0047429458267108406,78.86884710206728,,,1742096700000.0,84340.65714285715,-0.9464887179046207,止损
open,short,1742115600000,84171.4,0.004685014571580565,78.86884710206728,84430.12857142856,129.364285714283,,,,
close,short,1742115600000,84171.4,0.004685014571580565,77.65669997484021,,,1742140800000.0,84430.12857142856,-1.2121471272270647,止损
open,short,1742217300000,82904.3,0.004683514605083224,77.65669997484021,83610.7,353.1999999999992,,,,
close,short,1742217300000,82904.3,0.004683514605083224,74.34826525780944,,,1742218200000.0,83610.7,-3.308434717030762,止损
open,short,1742260500000,83306.6,0.004462327430108146,74.34826525780944,83681.15714285715,187.2785714285731,,,,
close,short,1742260500000,83306.6,0.004462327430108146,77.75302108698196,,,1742338800000.0,82543.6,3.4047558291725153,信号平仓
open,short,1742466600000,85265.7,0.004559454803454494,77.75302108698196,85783.72857142857,259.01428571428653,,,,
close,short,1742466600000,85265.7,0.004559454803454494,75.3910932286553,,,1742478300000.0,85783.72857142857,-2.3619278583266676,止损
open,short,1742649300000,84056.0,0.00448457535623009,75.3910932286553,84229.77142857143,86.88571428571387,,,,
close,short,1742649300000,84056.0,0.00448457535623009,74.61180216246696,,,1742665500000.0,84229.77142857143,-0.7792910661883409,止损
open,long,1742901300000,87284.6,0.004274053049591048,74.61180216246696,86835.41428571429,224.5928571428563,,,,
close,long,1742901300000,87284.6,0.004274053049591048,74.8908978266052,,,1742944500000.0,87349.9,0.2790956641382457,信号平仓
open,short,1742954400000,87501.9,0.004279386951975055,74.8908978266052,87948.7,223.4000000000004,,,,
close,short,1742954400000,87501.9,0.004279386951975055,73.57284664539688,,,1742972400000.0,87809.9,-1.3180511812083169,信号平仓
open,long,1742972400000,87809.9,0.004189325272286888,73.57284664539688,87443.91428571429,182.99285714285674,,,,
close,long,1742972400000,87809.9,0.004189325272286888,72.0396134432438,,,1742994900000.0,87443.91428571429,-1.5332332021530817,止损
open,short,1742996700000,86792.1,0.004150125036912564,72.0396134432438,87373.07142857143,290.48571428571137,,,,
close,short,1742996700000,86792.1,0.004150125036912564,69.62850937179864,,,1743037200000.0,87373.07142857143,-2.411104071445147,止损
open,long,1743037200000,87236.3,0.003990799092338777,69.62850937179864,86798.34285714287,218.97857142856915,,,,
close,long,1743037200000,87236.3,0.003990799092338777,68.30236683341445,,,1743074100000.0,86904.0,-1.3261425383841872,信号平仓
open,short,1743074100000,86904.0,0.003929759667760658,68.30236683341445,87265.08571428571,180.54285714285652,,,,
close,short,1743074100000,86904.0,0.003929759667760658,66.88338675680991,,,1743086700000.0,87265.08571428571,-1.4189800766045435,止损
open,short,1743130800000,86820.2,0.003851833257514376,66.88338675680991,87260.58571428571,220.1928571428559,,,,
close,short,1743130800000,86820.2,0.003851833257514376,76.35620028701503,,,1743213600000.0,84360.9,9.472813530205116,信号平仓
open,short,1743342300000,82655.3,0.004618953671876759,76.35620028701503,83088.65714285713,216.67857142856727,,,,
close,short,1743342300000,82655.3,0.004618953671876759,77.26613416037475,,,1743424200000.0,82458.3,0.9099338733597216,信号平仓
open,short,1743458400000,82382.0,0.004689503420672887,77.26613416037475,82908.54285714286,263.27142857142877,,,,
close,short,1743458400000,82382.0,0.004689503420672887,74.79690963067242,,,1743473700000.0,82908.54285714286,-2.4692245297023354,止损
open,short,1743565500000,84509.5,0.004425355115736836,74.79690963067242,84976.84285714285,233.67142857142815,,,,
close,short,1743565500000,84509.5,0.004425355115736836,72.72875152701222,,,1743584400000.0,84976.84285714285,-2.06815810366019,止损
open,short,1743629400000,84589.1,0.004298943452939694,72.72875152701222,86338.0,874.4499999999981,,,,
close,short,1743629400000,84589.1,0.004298943452939694,81.06526267095293,,,1743719400000.0,82649.9,8.336511143940704,信号平仓
open,short,1743766200000,81892.3,0.004949504573137703,81.06526267095293,82896.04285714286,501.8714285714273,,,,
close,short,1743766200000,81892.3,0.004949504573137703,76.09723280927004,,,1743769800000.0,82896.04285714286,-4.9680298616828935,止损
open,short,1743831900000,83645.6,0.004548788747362087,76.09723280927004,83959.85714285714,157.1285714285706,,,,
close,short,1743831900000,83645.6,0.004548788747362087,77.80029931628245,,,1743895800000.0,83271.2,1.7030665070124051,信号平仓
open,short,1743924600000,83057.8,0.004683503494932592,77.80029931628245,83321.55714285714,131.8785714285706,,,,
close,short,1743924600000,83057.8,0.004683503494932592,94.32510469745313,,,1744034400000.0,79529.5,16.524805381170676,信号平仓
open,short,1744101000000,79188.0,0.0059557701102094475,94.32510469745313,79762.59999999999,287.29999999999876,,,,
close,short,1744101000000,79188.0,0.0059557701102094475,90.90291919212683,,,1744111800000.0,79762.59999999999,-3.4221855053262966,止损
open,short,1744124400000,78309.4,0.0058040873249014064,90.90291919212683,79393.25714285714,541.9285714285704,,,,
close,short,1744124400000,78309.4,0.0058040873249014064,95.03368814125915,,,1744182000000.0,77597.7,4.130768949132314,信号平仓
open,short,1744200000000,76437.5,0.006216430949550885,95.03368814125915,77385.57142857143,474.0357142857143,,,,
