open_time,open,high,low,close,volume,close_time
1745870400000,604.64,606.35,603.08,605.99,45989.69,1745884799999
1745884800000,605.98,607.08,603.01,606.27,57963.55,1745899199999
1745899200000,606.27,610.8,605.18,609.6,94763.59,1745913599999
1745913600000,609.6,610.24,602.34,603.52,145984.23,1745927999999
1745928000000,603.52,604.11,600.6,601.18,92187.95,1745942399999
1745942400000,601.17,603.84,600.12,602.31,77213.09,1745956799999
1745956800000,602.31,602.36,597.53,600.67,74113.71,1745971199999
1745971200000,600.67,603.73,599.71,603.69,59909.63,1745985599999
1745985600000,603.69,604.42,601.73,602.73,53260.59,1745999999999
1746000000000,602.74,602.9,599.72,602.41,90952.33,1746014399999
1746014400000,602.42,602.59,591.0,596.5,177500.96,1746028799999
1746028800000,596.5,598.73,593.89,597.79,70463.96,1746043199999
1746043200000,597.8,599.7,597.6,599.21,48367.14,1746057599999
1746057600000,599.21,602.25,598.88,599.06,70946.13,1746071999999
1746072000000,599.07,601.33,598.53,599.64,51395.3,1746086399999
1746086400000,599.64,605.5,599.63,603.81,105649.11,1746100799999
1746100800000,603.81,605.18,601.0,602.55,94260.67,1746115199999
1746115200000,602.54,603.81,599.62,600.05,62827.77,1746129599999
1746129600000,600.05,600.37,597.64,599.14,58099.25,1746143999999
1746144000000,599.14,603.5,598.33,601.2,73044.19,1746158399999
1746158400000,601.21,601.99,595.03,595.22,79139.14,1746172799999
1746172800000,595.21,600.37,595.0,597.7,77928.86,1746187199999
1746187200000,597.7,600.59,596.29,599.41,79356.82,1746201599999
1746201600000,599.4,601.55,597.88,598.58,54591.14,1746215999999
1746216000000,598.58,601.48,597.86,600.6,44436.49,1746230399999
1746230400000,600.61,601.11,598.02,599.29,43637.4,1746244799999
1746244800000,599.28,600.19,597.25,597.26,42044.23,1746259199999
1746259200000,597.25,597.37,595.0,596.05,73148.32,1746273599999
1746273600000,596.04,598.85,596.04,598.35,47903.23,1746287999999
1746288000000,598.36,599.67,595.83,599.65,63326.18,1746302399999
1746302400000,599.65,599.73,598.06,599.07,31025.69,1746316799999
1746316800000,599.07,600.25,597.86,599.35,54184.58,1746331199999
1746331200000,599.35,599.91,596.0,596.66,56687.4,1746345599999
1746345600000,596.66,596.67,592.2,593.56,89057.76,1746359999999
1746360000000,593.57,593.68,587.44,588.8,132735.98,1746374399999
1746374400000,588.8,589.27,585.13,587.98,74624.92,1746388799999
1746388800000,587.98,589.6,584.16,585.65,66586.36,1746403199999
1746403200000,585.65,588.62,583.02,588.11,86253.85,1746417599999
1746417600000,588.12,592.16,588.0,591.83,80117.91,1746431999999
1746432000000,591.84,597.25,590.25,593.52,166124.49,1746446399999
1746446400000,593.52,597.12,592.68,597.07,115635.26,1746460799999
1746460800000,597.07,599.63,596.65,598.96,74408.03,1746475199999
1746475200000,598.96,599.78,596.25,597.19,59925.14,1746489599999
1746489600000,597.18,599.88,595.75,598.67,77298.86,1746503999999
1746504000000,598.67,599.2,597.32,598.36,57523.13,1746518399999
1746518400000,598.36,598.36,592.95,594.24,121758.33,1746532799999
1746532800000,594.25,598.89,593.45,598.36,92748.16,1746547199999
1746547200000,598.35,602.61,596.47,599.43,92913.94,1746561599999
1746561600000,599.43,603.27,596.65,602.56,81699.1,1746575999999
1746576000000,602.56,607.22,601.5,602.0,111950.56,1746590399999
1746590400000,601.99,606.62,601.87,606.61,96712.05,1746604799999
1746604800000,606.61,607.18,603.98,606.38,64232.61,1746619199999
1746619200000,606.39,609.29,600.76,600.92,135162.66,1746633599999
1746633600000,600.92,601.95,597.0,598.71,113392.48,1746647999999
1746648000000,598.7,603.9,597.5,602.51,58207.9,1746662399999
1746662400000,602.51,611.47,600.66,611.27,141693.83,1746676799999
1746676800000,611.28,614.99,608.62,613.08,135762.93,1746691199999
1746691200000,613.07,618.48,612.9,614.07,162939.04,1746705599999
1746705600000,614.06,623.75,613.6,621.27,190716.4,1746719999999
1746720000000,621.27,623.35,615.0,619.52,173588.85,1746734399999
1746734400000,619.52,629.55,619.21,629.29,177443.73,1746748799999
1746748800000,629.29,629.55,622.78,624.52,150881.8,1746763199999
1746763200000,624.51,636.21,624.23,631.78,145134.41,1746777599999
1746777600000,631.78,641.58,628.87,636.76,293020.74,1746791999999
1746792000000,636.76,644.26,631.66,636.07,222119.88,1746806399999
1746806400000,636.08,637.0,631.28,635.47,76362.5,1746820799999
1746820800000,635.48,671.3,635.19,666.72,252266.5,1746835199999
1746835200000,666.72,679.29,659.62,662.18,360717.68,1746849599999
1746849600000,662.17,664.3,655.38,661.91,159866.94,1746863999999
1746864000000,661.91,663.78,648.67,649.31,209511.95,1746878399999
1746878400000,649.31,655.59,648.76,651.96,110755.18,1746892799999
1746892800000,651.96,658.77,651.0,652.41,119595.33,1746907199999
1746907200000,652.41,664.28,649.29,664.1,136559.72,1746921599999
1746921600000,664.1,668.7,656.05,662.77,218054.61,1746935999999
1746936000000,662.75,667.99,655.0,656.0,141489.07,1746950399999
1746950400000,655.99,660.1,655.02,659.41,86959.15,1746964799999
1746964800000,659.41,660.1,650.1,651.93,137676.35,1746979199999
1746979200000,651.92,655.62,648.22,653.78,72837.66,1746993599999
1746993600000,653.78,653.98,648.97,651.36,65025.95,1747007999999
1747008000000,651.37,657.67,647.13,655.94,122775.35,1747022399999
1747022400000,655.95,668.5,652.52,661.34,191492.8,1747036799999
1747036800000,661.33,693.55,657.72,678.71,467702.18,1747051199999
1747051200000,678.72,692.42,660.67,664.15,400780.64,1747065599999
1747065600000,664.15,671.16,650.0,660.27,209445.17,1747079999999
1747080000000,660.26,664.2,658.35,660.5,80885.1,1747094399999
1747094400000,660.5,660.61,640.88,642.11,211001.97,1747108799999
1747108800000,642.1,653.14,640.88,649.83,113051.57,1747123199999
1747123200000,649.83,654.65,648.18,653.24,102448.19,1747137599999
1747137600000,653.25,658.74,650.25,656.03,192066.23,1747151999999
